# Detecting actual CPU count: 8 detected
# JMH version: 1.23
# VM version: JDK 13.0.2, OpenJDK 64-Bit Server VM, 13.0.2+8
# VM invoker: C:\Program Files\Java\openjdk-13.0.2\bin\java.exe
# VM options: <none>
# Warmup: 5 iterations, 5 s each
# Measurement: 10 iterations, 5 s each
# Timeout: 10 min per iteration
# Threads: 8 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.mizosoft.jacksonpatch.asyncnioparser.benchmark.AsyncParserBenchmark_byteArrayChunks.readChunks
# Parameters: (patch = NON_PATCHED, payloadLocation = /payload/jarray_small.json)

# Run progress: 0.00% complete, ETA 00:15:00
# Warmup Fork: 1 of 1
# Warmup Iteration   1: 32249.697 ops/s
# Warmup Iteration   2: 34143.165 ops/s
# Warmup Iteration   3: 33986.041 ops/s
# Warmup Iteration   4: 34045.348 ops/s
# Warmup Iteration   5: 33911.067 ops/s
Iteration   1: 33927.857 ops/s
Iteration   2: 33984.451 ops/s
Iteration   3: 33970.597 ops/s
Iteration   4: 33962.757 ops/s
Iteration   5: 33952.432 ops/s
Iteration   6: 33977.502 ops/s
Iteration   7: 33920.905 ops/s
Iteration   8: 33964.145 ops/s
Iteration   9: 34021.265 ops/s
Iteration  10: 34003.034 ops/s

# Run progress: 8.33% complete, ETA 00:13:51
# Fork: 1 of 1
# Warmup Iteration   1: 32067.310 ops/s
# Warmup Iteration   2: 34381.611 ops/s
# Warmup Iteration   3: 34889.460 ops/s
# Warmup Iteration   4: 34932.224 ops/s
# Warmup Iteration   5: 34952.799 ops/s
Iteration   1: 34940.613 ops/s
Iteration   2: 34843.637 ops/s
Iteration   3: 34940.003 ops/s
Iteration   4: 34972.346 ops/s
Iteration   5: 34957.805 ops/s
Iteration   6: 34955.461 ops/s
Iteration   7: 34929.870 ops/s
Iteration   8: 34884.206 ops/s
Iteration   9: 34915.204 ops/s
Iteration  10: 34947.010 ops/s


Result "com.github.mizosoft.jacksonpatch.asyncnioparser.benchmark.AsyncParserBenchmark_byteArrayChunks.readChunks":
  34928.616 ±(99.9%) 58.493 ops/s [Average]
  (min, avg, max) = (34843.637, 34928.616, 34972.346), stdev = 38.690
  CI (99.9%): [34870.122, 34987.109] (assumes normal distribution)


# JMH version: 1.23
# VM version: JDK 13.0.2, OpenJDK 64-Bit Server VM, 13.0.2+8
# VM invoker: C:\Program Files\Java\openjdk-13.0.2\bin\java.exe
# VM options: <none>
# Warmup: 5 iterations, 5 s each
# Measurement: 10 iterations, 5 s each
# Timeout: 10 min per iteration
# Threads: 8 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.mizosoft.jacksonpatch.asyncnioparser.benchmark.AsyncParserBenchmark_byteArrayChunks.readChunks
# Parameters: (patch = NON_PATCHED, payloadLocation = /payload/jobject_large.json)

# Run progress: 16.67% complete, ETA 00:12:35
# Warmup Fork: 1 of 1
# Warmup Iteration   1: 756.356 ops/s
# Warmup Iteration   2: 921.790 ops/s
# Warmup Iteration   3: 921.881 ops/s
# Warmup Iteration   4: 921.689 ops/s
# Warmup Iteration   5: 921.026 ops/s
Iteration   1: 922.137 ops/s
Iteration   2: 921.722 ops/s
Iteration   3: 921.487 ops/s
Iteration   4: 921.223 ops/s
Iteration   5: 921.206 ops/s
Iteration   6: 922.412 ops/s
Iteration   7: 922.503 ops/s
Iteration   8: 922.324 ops/s
Iteration   9: 921.617 ops/s
Iteration  10: 918.753 ops/s

# Run progress: 25.00% complete, ETA 00:11:21
# Fork: 1 of 1
# Warmup Iteration   1: 850.173 ops/s
# Warmup Iteration   2: 1019.219 ops/s
# Warmup Iteration   3: 1019.759 ops/s
# Warmup Iteration   4: 1019.093 ops/s
# Warmup Iteration   5: 1019.207 ops/s
Iteration   1: 1019.876 ops/s
Iteration   2: 1019.470 ops/s
Iteration   3: 1020.014 ops/s
Iteration   4: 1019.858 ops/s
Iteration   5: 1019.781 ops/s
Iteration   6: 1020.487 ops/s
Iteration   7: 1020.416 ops/s
Iteration   8: 1019.599 ops/s
Iteration   9: 1020.210 ops/s
Iteration  10: 1020.512 ops/s


