# Detecting actual CPU count: 8 detected
# JMH version: 1.23
# VM version: JDK 13.0.2, OpenJDK 64-Bit Server VM, 13.0.2+8
# VM invoker: C:\Program Files\Java\openjdk-13.0.2\bin\java.exe
# VM options: <none>
# Warmup: 5 iterations, 5 s each
# Measurement: 10 iterations, 5 s each
# Timeout: 10 min per iteration
# Threads: 8 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.mizosoft.jacksonpatch.asyncnioparser.benchmark.AsyncParserBenchmark_mixedChunks.readChunks
# Parameters: (patch = NIO_WRAPPING, payloadLocation = /payload/jarray_small.json)

# Run progress: 0.00% complete, ETA 00:10:00
# Warmup Fork: 1 of 1
# Warmup Iteration   1: 29677.430 ops/s
# Warmup Iteration   2: 31185.001 ops/s
# Warmup Iteration   3: 31288.133 ops/s
# Warmup Iteration   4: 31283.266 ops/s
# Warmup Iteration   5: 31278.285 ops/s
Iteration   1: 31221.636 ops/s
Iteration   2: 31275.730 ops/s
Iteration   3: 31317.596 ops/s
Iteration   4: 31248.975 ops/s
Iteration   5: 31299.068 ops/s
Iteration   6: 31292.381 ops/s
Iteration   7: 31200.141 ops/s
Iteration   8: 31187.797 ops/s
Iteration   9: 31306.405 ops/s
Iteration  10: 31299.496 ops/s

# Run progress: 12.50% complete, ETA 00:08:49
# Fork: 1 of 1
# Warmup Iteration   1: 28340.906 ops/s
# Warmup Iteration   2: 30733.658 ops/s
# Warmup Iteration   3: 30859.164 ops/s
# Warmup Iteration   4: 30833.318 ops/s
# Warmup Iteration   5: 30846.837 ops/s
Iteration   1: 30857.514 ops/s
Iteration   2: 30888.757 ops/s
Iteration   3: 30845.905 ops/s
Iteration   4: 30839.406 ops/s
Iteration   5: 30856.578 ops/s
Iteration   6: 30883.460 ops/s
Iteration   7: 30863.013 ops/s
Iteration   8: 30854.960 ops/s
Iteration   9: 30877.125 ops/s
Iteration  10: 30865.927 ops/s


Result "com.github.mizosoft.jacksonpatch.asyncnioparser.benchmark.AsyncParserBenchmark_mixedChunks.readChunks":
  30863.264 ±(99.9%) 24.033 ops/s [Average]
